万科假日风景花园 新津杨公路南侧
万科盈润园 星光支路与卉安道交口
富力湾天阔园 津杨公路与万卉路交口西南侧
金厦水语花城水溪苑 新津杨公路与外环线交口向西800米
金厦水语花城花溪苑 新津杨公路与外环线交口向西800米
大地十二城三期枫桥园 外环线以西津杨公路南侧
天房美域豪庭 昌凌路与绥江道交口
和瑞园 津涞道与遥环路交口西南侧
天房美域华庭 卫津南路与丽江道交口西南侧
松江城 泰佳道与汇川路交口东南侧
天房美域兰庭 卫津南路与集美道交口西北侧
东方环球影城 阜锦道与万卉路交口（曹庄花市西行300米）
旭辉御景园 卉康道65号
华亭国际 海光路东侧
正荣润璟湾 曦霞路51号
大地十二城四期清枫园 外环线以西津杨公路南侧
云锦世家观锦园 卉康道63号
云锦世家郦景园 星光路西侧
大地十二城五期枫香园 中北大道与星光路交口
溪秀苑翠溪园 中北大道与万卉路交口东南角
大地十二城六期枫桦园 津杨路与运盛路交叉口东南150米
万科依润园 万源路2号
芒果郡一期依丽园 万源路与卉安道交口南侧200米
大地十二城二期翠杉园 外环线与中北大道交口西北侧
金隅满堂 万卉路与卉安道交口
中盛里 津涞道与遥环路交口
中发里 津涞公路与香霞路交口
六十三里弄一区 万卉路南段西侧
水岸江南(天湾园) 外环线与友谊南路交口东北侧
澜湾半岛 卉锦道北侧
社会山南苑 知景道210号
心之筑汇颐花园 津涞道与广秀路交口东南侧
六十三里弄二区 万卉路南段西侧
大地十二城一期碧湖园 外环线与中北大道交口西北侧
万科金奥国际 卫津南路与丽江道交口东北侧
中交樾公馆 京福支线与辛老路交口以南
新津国际 保山西道延长线新科道与外环交口
学畔馨园 津涞公路与工一号路交口处
万科朗润园 星光支路与卉安道交口
六十三里弄三区 万卉路南段西侧
云锦世家澜锦园 卉康道63号
俊城橡树原 解放南路与外环线交口西北侧
曹庄欣苑 中北大道与万卉路交口
六十三里弄四区 万卉路南段西侧
溪华苑 海光路西侧
金厦新都芳溪园 瑶琳路与淄环路交口东北角
集贤里(西青区) 津涞道与卫津南路交口
卫津领寓(朗庭园) 昌凌路与丽江道交口东北侧
国风星苑 卫津南路与津涞道交口东侧
金厦新都涵溪园 雅乐道与香霞路交口东南角
东兴里 万卉路与中北大道交口
水语湾 江湾路与绥江道交口
五矿榕园 中石油桥津涞公路出口2公里处
河畔馨居 津杨公路与万学路交口
溪清苑 中北大道以北
金厦新都梦溪园 雅乐道与香霞路交口北侧
远洋万和城 友谊南路与梨双公路交口以东500米
利海家园 复康路与梅苑路交口
万科四季雅园 博桦道1号
溪景苑 中北大道华亭国际对面
澜溪园（中天首府） 中石油桥津涞公路出口南侧900米处
君悦花苑 祥和大道180号
金厦新都静溪园 遥环路与丰产河交口东北侧
中信珺台碧和园 外环线与保山西道交口东南侧
福悦里 芥园西道与福姜路交口西北侧
洛卡小镇一期 友谊南路与外环线交口西南
溪茗园 东大道与中北大道交口
侯台花园 保山西道与碧新路交口
金厦新都波溪园 昌凌路与集美道交口西侧
云锦世家御锦园 卉康道63号
中信珺台碧珺园 外环线与楚雄西道交口东北侧
御溪园 津涞道与光明路交口南侧
纪明家园 卫津南路与黑牛城道交口
丽江花园 丽江道与玉带路交口西北侧
碧轩园温泉公寓 碧欣路与楚雄西道交口
津尚花园 辛老路与嘉和路交口
梅江康城 友谊南路与外环线交口以南
慢咖领地 辛老路（税务所以东）
玛歌庄园 友谊南路与外环线交口南3.8公里
星河荣御一期香堤园 知景道136号
摩卡假日 嘉和路（规）与知景道（规）交口
鹭岭 杨柳青高尔夫球场内
福雅花园 密云一支路与福姜路交口
凌福郡庭 津涞公路
博文苑 津港公路与外环线交口前行300米
保利罗兰公馆 知景道东侧
宝庆里 董庄子村吉庆道旁
国耀紫溪别墅 杨柳青镇柳口路68号（柳口路与津杨路交口南侧）
星河荣御二期香榭园 知景道155号
尚丰水苑 津涞公路与外环线交口
悦雅花园 津涞路与卫津南路交口
金丽花园 西青区李七庄街津涞道与外环线交口
姚村公寓智达里 第三高教区大学城工一号路西侧
社会山花园三区 京福公路以南
高雅公寓 
东兴南里 中北大道与万卉路交口
社会山北苑(如鱼) 知景道311号
惠鑫花园 
社会山花园二区 京福公路以南
社会山花园一区 京福公路以东
天辰里 董甸路与吉庆道交口东南侧
碧欣园 复康路延长线候台
赵苑东里 芥园西道与密云路交口
林溪地 西青道与一经路交口
洛卡小镇二期 友谊南路与外环线交口西南
天安数码城 赛达大道与柳口路交口
莱茵小镇二期美林苑 柳霞路与泽扬道交口
天籁湾 西青道与京福公路交口
碧景园 保山西道与碧欣路交口
